customer_id,name,age,gender,city,income,spending_score,tenure,monthly_visits,favorite_product,favorite_category,purchase_frequency,churn
1,Customer_1,33,Female,New York,76217,16,7,1,Watch,Fashion,19,1
2,Customer_2,51,Female,Dallas,140061,68,9,19,Phone,Electronics,16,0
3,Customer_3,44,Male,Houston,133615,38,1,28,Headphones,Sports,14,0
4,Customer_4,60,Male,Chicago,142519,31,2,15,Headphones,Electronics,12,0
5,Customer_5,57,Female,New York,40051,7,7,10,Watch,Fashion,13,0
6,Customer_6,48,Female,Chicago,138593,44,6,23,Headphones,Sports,1,0
7,Customer_7,26,Male,Chicago,117087,33,6,15,Headphones,Sports,5,0
8,Customer_8,54,Female,Houston,59403,88,7,18,Laptop,Sports,17,0
9,Customer_9,41,Male,Dallas,129179,14,8,9,Headphones,Electronics,7,0
10,Customer_10,18,Male,Chicago,128767,90,5,18,Laptop,Electronics,6,0
11,Customer_11,33,Male,Dallas,58044,39,3,5,Shoes,Fashion,19,0
12,Customer_12,62,Male,Houston,45356,25,2,6,Phone,Fashion,11,0
13,Customer_13,63,Male,Los Angeles,46082,25,1,3,Phone,Fashion,18,1
14,Customer_14,49,Female,Houston,123556,20,8,11,Watch,Fashion,9,0
15,Customer_15,39,Female,New York,120853,10,7,3,Laptop,Fashion,5,1
16,Customer_16,31,Male,Houston,81715,41,5,20,Phone,Electronics,3,0
17,Customer_17,56,Female,Los Angeles,129336,44,3,5,Shoes,Fashion,15,0
18,Customer_18,31,Male,Houston,33022,42,7,26,Laptop,Sports,7,0
19,Customer_19,38,Female,New York,72961,21,1,23,Headphones,Electronics,8,0
20,Customer_20,46,Male,Los Angeles,56603,85,6,28,Headphones,Fashion,7,0
21,Customer_21,24,Male,Dallas,28325,32,1,7,Watch,Fashion,13,0
22,Customer_22,44,Male,Chicago,116642,32,1,1,Headphones,Fashion,12,0
23,Customer_23,28,Female,Chicago,127816,77,5,13,Watch,Fashion,3,0
24,Customer_24,55,Female,Dallas,87854,52,2,14,Laptop,Electronics,18,0
25,Customer_25,39,Male,New York,120884,2,4,9,Phone,Electronics,5,0
26,Customer_26,43,Male,New York,88135,8,2,15,Laptop,Sports,13,0
27,Customer_27,43,Female,Chicago,30124,82,4,6,Shoes,Fashion,7,0
28,Customer_28,47,Male,Chicago,38523,35,8,3,Shoes,Fashion,13,0
29,Customer_29,63,Male,Houston,125931,70,8,20,Phone,Fashion,11,0
30,Customer_30,48,Male,New York,111877,97,1,22,Headphones,Sports,19,0
31,Customer_31,47,Female,Los Angeles,92918,28,4,10,Laptop,Fashion,12,0
32,Customer_32,59,Male,Chicago,75919,61,7,8,Watch,Sports,14,0
33,Customer_33,23,Female,Houston,73265,89,8,25,Watch,Sports,1,0
